标题： 有木有觉得镇楼图很惊悚 	 链接：http://tieba.baidu.com//p/5556264058 	 发帖人：二代青雉 	 发帖时间：2-18 	 回复数量： 3 
标题： 你所不知道的Amy 	 链接：http://tieba.baidu.com//p/4990672549 	 发帖人：鬮乆 	 发帖时间：2017-02 	 回复数量： 35 
标题： 天才理论传吧 狗年到，祝愿你狗年好时机，发展大契机 	 链接：http://tieba.baidu.com//p/5567087639 	 发帖人：奋斗的鹌鹑 	 发帖时间：2-26 	 回复数量： 1 
标题： 生活大爆炸哪个字幕组翻译的最好？ 	 链接：http://tieba.baidu.com//p/5519908919 	 发帖人：小肥涛涛 	 发帖时间：1-18 	 回复数量： 16 
标题： 问下生活大爆炸的演员在演戏的时候旁边有很多观众吗？那么多笑声？ 	 链接：http://tieba.baidu.com//p/908908462 	 发帖人：0.0.0.* 	 发帖时间：2012-01 	 回复数量： 24 
标题： 有你们陪伴这个假期很开心😊 	 链接：http://tieba.baidu.com//p/5359320345?fid=1441624 	 发帖人：校长借个... 	 发帖时间：2017-10 	 回复数量： 2 
标题： 谢耳朵死敌 威尔·惠顿 年轻时的照片！ 	 链接：http://tieba.baidu.com//p/5465743457 	 发帖人：meastt 	 发帖时间：2017-12 	 回复数量： 30 
标题： 图解《生活大爆炸》 	 链接：http://tieba.baidu.com//p/4701782158 	 发帖人：流云飞扬go 	 发帖时间：2016-07 	 回复数量： 2229 
标题： 2018春节活动强势来袭，中国银联云闪付APP发红包，最高可 	 链接：http://tieba.baidu.com//p/5564181067 	 发帖人：老王家的... 	 发帖时间：2-24 	 回复数量： 0 
标题： 谢耳朵的哥哥是不是在生活大爆炸里从没出场过？ 	 链接：http://tieba.baidu.com//p/5452089394 	 发帖人：铁马秋风... 	 发帖时间：2017-11 	 回复数量： 30 
标题： 大爆炸有一集里面伯纳黛特好像因为漂亮 得了一个漂亮女科学家的 	 链接：http://tieba.baidu.com//p/5557347211 	 发帖人：猫爷_完... 	 发帖时间：2-19 	 回复数量： 3 
标题： 中国的影迷们！你们好！ 	 链接：http://tieba.baidu.com//p/5081557204 	 发帖人：华夏型茶... 	 发帖时间：2017-04 	 回复数量： 58 
标题： 想不通为什么有人不喜欢谢尔顿，难道是我不正常吗？ 	 链接：http://tieba.baidu.com//p/906070056 	 发帖人：0.0.0.* 	 发帖时间：2014-01 	 回复数量： 36 
标题： 把前女友聚在一起的拉杰 	 链接：http://tieba.baidu.com//p/5288565004 	 发帖人：中国式半仙 	 发帖时间：2017-08 	 回复数量： 1 
标题： 大爆炸里一些演员的年龄和身高 	 链接：http://tieba.baidu.com//p/3222691277 	 发帖人：鬽saiki 	 发帖时间：2014-08 	 回复数量： 92 
标题： 开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com//p/1491364062 	 发帖人：黑色诱惑1... 	 发帖时间：2014-03 	 回复数量： 29994 
标题： 关于第六季第18集的疑问 	 链接：http://tieba.baidu.com//p/4974174349 	 发帖人：zyy1998429 	 发帖时间：2017-02 	 回复数量： 24 
